Metric,ExpectedValue,Unit,Interpretation
AttemptFiles,99,trials,Files trial0001.mat through trial0099.mat
GoodTrials,99,trials,All saved attempts completed in debug mode
InstructionTrials,20,trials,nStim equals 1
DualTargetChoices,79,trials,nStim equals 2 and valid choice
CongruentChoices,39,trials,TrialType equals 1
ConflictChoices,40,trials,TrialType equals 2
PassEyeTrials,99,trials,Debug eye bypass active throughout
PassJoyTrials,99,trials,Debug joystick bypass active throughout
MouseEyeSimTrials,0,trials,Mouse simulation inactive
RichTarget,2,target,T2 rich throughout the block
ChooseT2,79,choices,All dual-target choices select T2
ChooseRich,79,choices,All dual-target choices select rich target by passEye code
ChooseRight,40,choices,T2 located right on 40 choice trials
ChooseLeft,39,choices,T2 located left on 39 choice trials
ChooseHighSalienceCongruent,39,choices,Rich and salient targets coincide
ChooseHighSalienceConflict,0,choices,Rich and salient targets oppose
ValidReactionTimes,0,trials,Simulated saccadeOnset does not follow fixOff
ChoiceMappingErrors,0,trials,Chosen side matches chosen target identity
ExpectedTrialsInBlock,100,trials,Schedule target
MissingScheduledTrials,1,trials,Session stopped after 99 saved successes
TotalMissedFrames,161,frames,Sum over all trial files
SessionDurationMinutes,3.9899,minutes,PTB timestamp estimate
