Model,Term,Estimate,SE,PValue,OddsRatio,N,Note,QFDR
Choose right,(Intercept),-1.58894786135427,0.420342711753441,0.000156749840736989,0.20414028266316,237,,0.000940499044421935
Choose right,RichOnRight,1.18020253895104,0.405307476003754,0.00359272526310527,3.25503340718203,237,,0.0143709010524211
Choose right,HighSalienceOnRight,-0.271357304543519,0.366297818529002,0.458808290773599,0.762344058740444,237,,0.550569948928319
Choose right,T1OnRight,-0.358242051389666,0.333714359249561,0.283047259621583,0.698903883874543,237,,0.377396346162111
Choose right,PreviousRight,3.13131222190693,0.412584405466747,3.21124995638254e-14,22.904014981766,237,,3.85349994765904e-13
Choose right,ChoiceProgress,-0.426838292678556,0.171413628746151,0.0127704608987521,0.65256906889245,237,,0.0383113826962563
Choose T1,(Intercept),-0.686204864064647,0.312082896688527,0.0278928324351797,0.503483235118206,237,,0.0669427978444314
Choose T1,T1IsRich,0.167976484274458,0.275614560907628,0.54221853491816,1.18290879336221,237,,0.591511129001628
Choose T1,T1IsHighSalience,0.360687188176728,0.276299874375091,0.191750110532437,1.43431472009376,237,,0.328714475198463
Choose T1,T1OnRight,0.138821079195949,0.276082848815997,0.615088026413881,1.14891851618784,237,,0.615088026413881
Choose T1,PreviousT1,0.489825634327817,0.267881942606527,0.0674725853470887,1.632031624853,237,,0.134945170694177
Choose T1,ChoiceProgress,0.156397641785152,0.135440482084727,0.248199637493137,1.16929106964686,237,,0.372299456239705
