Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,238,112,0.470588235294118,238,112,0.470588235294118,0.408146528504173,0.533964306965192,0.399464750911724,None,0.532619667882298
Identity,Always T2,238,126,0.529411764705882,238,126,0.529411764705882,0.466035693034808,0.591853471495827,0.399464750911724,None,0.532619667882298
Identity,Choose rich target,238,119,0.5,238,119,0.5,0.436983726349455,0.563016273650545,1,None,1
Identity,Choose low-reward target,238,119,0.5,238,119,0.5,0.436983726349455,0.563016273650545,1,None,1
Identity,Choose high-salience target,238,132,0.554621848739496,238,132,0.554621848739496,0.491109094618565,0.616399353795472,0.104924816415288,None,0.209849632830576
Identity,Choose low-salience target,238,106,0.445378151260504,238,106,0.445378151260504,0.383600646204529,0.508890905381435,0.104924816415288,None,0.209849632830576
Identity,Repeat previous identity,237,135,0.569620253164557,237,135,0.569620253164557,0.505968117112927,0.631051481429566,0.03742808545142,None,0.14971234180568
Identity,Switch identity,237,102,0.430379746835443,237,102,0.430379746835443,0.368948518570434,0.494031882887073,0.03742808545142,None,0.14971234180568
Spatial,Always right,238,126,0.529411764705882,238,126,0.529411764705882,0.466035693034808,0.591853471495827,0.399464750911724,None,0.532619667882298
Spatial,Always left,238,112,0.470588235294118,238,112,0.470588235294118,0.408146528504173,0.533964306965192,0.399464750911724,None,0.532619667882298
Spatial,Choose rich side,238,119,0.5,238,119,0.5,0.436983726349455,0.563016273650545,1,None,1
Spatial,Choose low-reward side,238,119,0.5,238,119,0.5,0.436983726349455,0.563016273650545,1,None,1
Spatial,Choose high-salience side,238,132,0.554621848739496,238,132,0.554621848739496,0.491109094618565,0.616399353795472,0.104924816415288,None,0.209849632830576
Spatial,Choose low-salience side,238,106,0.445378151260504,238,106,0.445378151260504,0.383600646204529,0.508890905381435,0.104924816415288,None,0.209849632830576
Spatial,Repeat previous side,237,186,0.784810126582278,237,186,0.784810126582278,0.728167936819142,0.832366784491059,3.1089605799381e-19,None,2.48716846395048e-18
Spatial,Switch side,237,51,0.215189873417722,237,51,0.215189873417722,0.167633215508941,0.271832063180858,3.1089605799381e-19,None,2.48716846395048e-18
