Metric,Value,Unit,Notes
Saved attempts,7,trials,One trialXXXX.mat file per saved attempt.
Successful trials,5,trials,trialEndState = 455 / GoodTrial = 1.
Completion rate,0.714285714285714,proportion,Successful trials / saved attempts.
Successful instruction trials,5,trials,Single-target trials.
Successful two-target choices,0,trials,All acquisition modes combined.
Real eye-controlled choices,0,trials,passEye=0 and mouseEyeSim=0.
Fraction passEye,0.285714285714286,proportion,passEye forces a programmed choice in this task.
Fraction passJoy,1,proportion,Joystick bypass.
Valid reaction times,3,trials,saccadeOnset strictly after fixOff.
Valid fixation-acquisition latencies,7,trials,fixAq strictly after fixOn.
Session duration,3.43115887641907,minutes,Estimated from PTB timestamps.
Missed frames,15,frames,Sum across saved attempts.
Identity-side mapping errors,0,trials,The recorded chosen side does not match the side of the chosen target.
