SessionID,BlockUID,Block,RichTarget,Attempts,GoodTrials,GoodChoices,RealEyeChoices,ExpectedTrials,TrialsMissing,CompletionFraction,Incomplete
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B001,1,1,104,104,84,0,104,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B002,2,2,100,100,80,0,100,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B003,3,1,92,92,72,0,92,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B004,4,2,96,96,76,0,96,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B005,5,1,108,108,88,0,108,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B006,6,2,108,108,88,0,108,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B007,7,1,100,100,80,0,100,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B008,8,2,96,96,76,0,96,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B009,9,1,96,96,76,0,96,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B010,10,2,100,100,80,0,100,0,1,0
20260721_t1029_srsSmooth_training,20260721_t1029_srsSmooth_training_B011,11,1,12,12,0,0,104,92,0.115384615384615,1
