Model,Term,Estimate,SE,PValue,OddsRatio,N,Note,QFDR
Choose right,(Intercept),-1.19802489532158,0.350430029605728,0.00062914622528354,0.301789689881341,315,,0.00251658490113416
Choose right,RichOnRight,-0.0522524347284893,0.306782184882715,0.864755168899939,0.949089253512776,315,,0.94336927516357
Choose right,HighSalienceOnRight,0.303108156470099,0.30620906974166,0.322236092744179,1.35406090697079,315,,0.644472185488357
Choose right,T1OnRight,-0.146248131870417,0.306400867946805,0.633141545454193,0.863943304718063,315,,0.908352652701739
Choose right,PreviousRight,2.93678613446628,0.308993781657281,2.01294423631379e-21,18.8551509114226,315,,2.41553308357655e-20
Choose right,ChoiceProgress,0.391277103097174,0.161142428978655,0.0151762951985702,1.47886825561405,315,,0.0455288855957107
Choose T1,(Intercept),-0.490968075803166,0.261169335332928,0.0601238779822392,0.612033612370985,315,,0.144297307157374
Choose T1,T1IsRich,-0.0413970503307543,0.232754222253,0.858835002581138,0.959448105122308,315,,0.94336927516357
Choose T1,T1IsHighSalience,0.149999323139906,0.232311930809594,0.51848618159485,1.16183345632931,315,,0.8888334541626
Choose T1,T1OnRight,0.949020894401308,0.232236423829927,4.38037152792395e-05,2.58317921549982,315,,0.000262822291675437
Choose T1,PreviousT1,0.0145426922646839,0.232180566265226,0.950056943806219,1.01464895168835,315,,0.950056943806219
Choose T1,ChoiceProgress,-0.0480856526034755,0.117071284925938,0.681264489526304,0.953052152183352,315,,0.908352652701739
