Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,231,31,0.134199134199134,231,31,0.134199134199134,0.0961782709772913,0.18418729629235,1.89150210133132e-31,Choose rich target,2.52200280177509e-31
Identity,Always T2,231,200,0.865800865800866,231,200,0.865800865800866,0.81581270370765,0.903821729022709,1.89150210133132e-31,Choose low-reward target,2.52200280177509e-31
Identity,Choose rich target,231,31,0.134199134199134,231,31,0.134199134199134,0.0961782709772913,0.18418729629235,1.89150210133132e-31,Always T1,2.52200280177509e-31
Identity,Choose low-reward target,231,200,0.865800865800866,231,200,0.865800865800866,0.81581270370765,0.903821729022709,1.89150210133132e-31,Always T2,2.52200280177509e-31
Identity,Choose high-salience target,231,196,0.848484848484849,231,196,0.848484848484849,0.796573964751361,0.888994932701821,2.40256318996784e-28,None,2.40256318996784e-28
Identity,Choose low-salience target,231,35,0.151515151515152,231,35,0.151515151515152,0.111005067298179,0.203426035248639,2.40256318996784e-28,None,2.40256318996784e-28
Identity,Repeat previous identity,230,200,0.869565217391304,230,200,0.869565217391304,0.819903955469245,0.907084324784144,5.04735940724526e-32,None,1.34596250859874e-31
Identity,Switch identity,230,30,0.130434782608696,230,30,0.130434782608696,0.0929156752158564,0.180096044530755,5.04735940724526e-32,None,1.34596250859874e-31
Spatial,Always right,231,231,1,231,231,1,0.983642331128478,1,5.79563461044907e-70,None,4.63650768835926e-69
Spatial,Always left,231,0,0,231,0,0,0,0.0163576688715221,5.79563461044907e-70,None,4.63650768835926e-69
Spatial,Choose rich side,231,31,0.134199134199134,231,31,0.134199134199134,0.0961782709772913,0.18418729629235,1.89150210133132e-31,None,2.52200280177509e-31
Spatial,Choose low-reward side,231,200,0.865800865800866,231,200,0.865800865800866,0.81581270370765,0.903821729022709,1.89150210133132e-31,None,2.52200280177509e-31
Spatial,Choose high-salience side,231,196,0.848484848484849,231,196,0.848484848484849,0.796573964751361,0.888994932701821,2.40256318996784e-28,None,2.40256318996784e-28
Spatial,Choose low-salience side,231,35,0.151515151515152,231,35,0.151515151515152,0.111005067298179,0.203426035248639,2.40256318996784e-28,None,2.40256318996784e-28
Spatial,Repeat previous side,230,230,1,230,230,1,0.983572379166349,1,1.15912692208982e-69,None,4.63650768835927e-69
Spatial,Switch side,230,0,0,230,0,0,0,0.0164276208336507,1.15912692208982e-69,None,4.63650768835927e-69
