SessionID,ExperimentType,FileName,FileTrialIndex,Attempt,GoodTrialIndexBefore,Block,BlockAttempt,BlockGoodBefore,ExpectedTrialsInBlock,ExpectedChoiceTrialsInBlock,ExpectedInstructionTrialsInBlock,TotalBlocksTarget,BlockRichTarget,TrialType,ConditionID,SchedulePhase,CurrentScheduleRow,TrialSeed,NStim,SingleTargetID,T1Side,T2Side,RichTarget,RichSide,HighSalienceTarget,HighSalienceSide,ChosenTarget,ChosenSide,Outcome,OutcomeCode,TrialEndState,GoodTrial,TrialRepeatFlag,MissedFrames,PassEye,PassJoy,MouseEyeSim,RewardT1Ms,RewardT2Ms,ActualRichRewardMs,ActualPoorRewardMs,RewardDifferenceT1MinusT2Ms,ChosenRewardMs,SalienceType,BackgroundHueDeg,HueT1Deg,HueT2Deg,HueContrastT1Deg,HueContrastT2Deg,HueContrastDifferenceT1MinusT2Deg,HueContrastMagnitudeDeg,MeasuredLuminanceT1CdM2,MeasuredLuminanceT2CdM2,MeasuredLuminanceDifferenceT1MinusT2CdM2,TrialStartPTB,TrialStartDP,TrialDurationSec,FixOnSec,FixAcquiredSec,FixHoldReqMetSec,FixOffSec,SaccadeOnsetSec,SaccadeOffsetSec,TargetAcquiredSec,JoyPressSec,JoyReleaseSec,RewardTimeSec,FixAcquisitionLatencyMs,ReactionTimeMs,SaccadeDurationMs,TargetAcquisitionLatencyMs,TrialTypeLabel,T1SideLabel,T2SideLabel,ChosenSideLabel,RichSideLabel,HighSalienceSideLabel,IsInstruction,IsChoice,IsCongruent,IsConflict,GoodChoice,ChoseRight,ChoseT1,ChoseRich,ChoseHighSalience,ChoseLeft,ChoseT2,ChosePoor,ChoseLowSalience,T1OnRight,RichOnRight,HighSalienceOnRight,T1IsRich,T1IsHighSalience,ChoiceMappingValid,GoodTrialOrdinal,ChoiceOrdinal,BlockUID,GoodTrialInBlock,ChoiceInBlock,SessionElapsedMin,PreTrialIntervalSec,PreviousChosenTarget,PreviousChosenSide,PreviousRewardMs,PreviousChoiceSameBlock,SwitchedTarget,SwitchedSide,StayedTarget,StayedSide,RealEyeChoice
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0001.mat,1,1,0,1,1,0,100,80,20,8,1,0,2,1,9,28945,1,1,2,1,1,2,1,2,0,0,,0,11,0,1,1,0,0,0,178,89,178,89,89,NaN,1,180,0,190,180,10,170,170,NaN,NaN,NaN,1785355799.12925,21403.56115152,0.463778257369995,0.0260999202728271,0.301519393920898,-1,-1,-1,-1,-1,-1,-1,-1,275.419473648071,NaN,NaN,NaN,Instruction,Left,Right,None,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,0,NaN,20260729_t1609_srsSmooth_training_B001,NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0002.mat,2,2,0,1,2,0,100,80,20,8,1,0,2,1,6,10544,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,153,94,153,94,59,153,1,180,0,190,180,10,170,170,NaN,NaN,NaN,1785355816.37313,21420.80472476,2.15280079841614,0.0162312984466553,0.175095796585083,0.883758783340454,1.21627855300903,1.41704487800598,1.45869922637939,1.45869922637939,-1,-1,1.70270085334778,158.864498138428,200.766324996948,41.6543483734131,242.420673370361,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,1,NaN,20260729_t1609_srsSmooth_training_B001,1,NaN,0.28739800453186,16.7801020145416,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0003.mat,3,3,1,1,3,1,100,80,20,8,1,0,3,1,12,1509,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,154,112,154,112,42,112,1,180,190,0,10,180,-170,170,NaN,NaN,NaN,1785355819.83566,21424.2672606,2.64076256752014,0.0121750831604004,0.196484804153442,0.979317903518677,1.31222629547119,1.57102942466736,1.60438799858093,1.60438799858093,-1,-1,1.90586853027344,184.309720993042,258.803129196167,33.3585739135742,292.161703109741,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,2,NaN,20260729_t1609_srsSmooth_training_B001,2,NaN,0.345106760660807,1.30972456932068,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0004.mat,4,4,2,1,4,2,100,80,20,8,1,0,2,1,9,28945,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,165,91,165,91,74,165,1,0,180,10,180,10,170,170,NaN,NaN,NaN,1785355823.73357,21428.16503292,2.10926198959351,0.0144145488739014,0.223226070404053,0.74829626083374,1.08112335205078,1.34834432601929,1.38989090919495,1.38989090919495,-1,-1,1.64189577102661,208.811521530151,267.220973968506,41.5465831756592,308.767557144165,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,3,NaN,20260729_t1609_srsSmooth_training_B001,3,NaN,0.410072004795074,1.25715208053589,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0005.mat,5,5,3,1,5,3,100,80,20,8,1,0,3,1,11,25924,1,2,2,1,1,2,2,1,0,0,,0,11,0,1,0,0,0,0,161,123,161,123,38,NaN,1,0,10,180,10,180,-170,170,NaN,NaN,NaN,1785355827.12368,21431.55506472,0.317940235137939,0.0161013603210449,0.258453845977783,-1,-1,-1,-1,-1,-1,-1,-1,242.352485656738,NaN,NaN,NaN,Instruction,Left,Right,None,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,3,NaN,20260729_t1609_srsSmooth_training_B001,NaN,NaN,0.466573890050252,1.28085112571716,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0006.mat,6,6,3,1,6,3,100,80,20,8,1,0,3,1,13,28735,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,184,98,184,98,86,98,1,0,10,180,10,180,-170,170,NaN,NaN,NaN,1785355828.60796,21433.03937256,2.26824641227722,0.0152194499969482,0.224197626113892,0.982513904571533,1.31527042388916,1.57400965690613,1.60750675201416,1.60750675201416,-1,-1,1.86791706085205,208.978176116943,258.739233016968,33.4970951080322,292.236328125,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,4,NaN,20260729_t1609_srsSmooth_training_B001,4,NaN,0.49131178855896,1.16633367538452,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0007.mat,7,7,4,1,7,4,100,80,20,8,1,0,2,1,8,14084,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,168,129,168,129,39,168,1,0,180,10,180,10,170,170,NaN,NaN,NaN,1785355832.08747,21436.51878224,2.25573110580444,0.0108470916748047,0.219758987426758,0.886528968811035,1.21922850608826,1.528160572052,1.56984210014343,1.56984210014343,-1,-1,1.78853487968445,208.911895751953,308.932065963745,41.6815280914307,350.613594055176,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,5,NaN,20260729_t1609_srsSmooth_training_B001,5,NaN,0.549303607145945,1.21126270294189,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0008.mat,8,8,5,1,8,5,100,80,20,8,1,0,1,1,5,13098,1,1,1,2,1,1,1,1,0,0,,0,11,0,1,0,0,0,0,135,94,135,94,41,NaN,1,180,0,190,180,10,170,170,NaN,NaN,NaN,1785355835.60349,21440.0347202,0.338430881500244,0.0116307735443115,0.287136793136597,-1,-1,-1,-1,-1,-1,-1,-1,275.506019592285,NaN,NaN,NaN,Instruction,Right,Left,None,Right,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,0,5,NaN,20260729_t1609_srsSmooth_training_B001,NaN,NaN,0.607903969287872,1.26029062271118,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0009.mat,9,9,5,1,9,5,100,80,20,8,1,0,4,1,20,17336,1,2,1,2,1,1,2,2,2,2,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,182,93,182,93,89,93,1,0,10,180,10,180,-170,170,NaN,NaN,NaN,1785355837.11324,21441.54440928,2.23854565620422,0.0186061859130859,0.244089603424072,1.00240063667297,1.33532404899597,1.56080031394958,1.59416389465332,1.59416389465332,-1,-1,1.84625864028931,225.483417510986,225.476264953613,33.3635807037354,258.839845657349,Instruction,Right,Left,Left,Right,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,1,0,0,6,NaN,20260729_t1609_srsSmooth_training_B001,6,NaN,0.633066495259603,1.17132067680359,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0010.mat,10,10,6,1,10,6,100,80,20,8,1,0,2,1,7,6534,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,162,118,162,118,44,162,1,180,0,190,180,10,170,170,NaN,NaN,NaN,1785355840.60216,21445.03331084,2.10802960395813,0.013155460357666,0.238567113876343,0.77198314666748,1.10486435890198,1.38071513175964,1.42239093780518,1.42239093780518,-1,-1,1.64923095703125,225.411653518677,275.850772857666,41.6758060455322,317.526578903198,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,7,NaN,20260729_t1609_srsSmooth_training_B001,7,NaN,0.691215189297994,1.25037598609924,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0011.mat,11,11,7,1,11,7,100,80,20,8,1,0,4,1,19,30848,1,2,1,2,1,1,2,2,2,2,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,174,99,174,99,75,99,1,180,190,0,10,180,-170,170,NaN,NaN,NaN,1785355843.9165,21448.34758212,2.17765307426453,0.0156154632568359,0.241079330444336,0.832809209823608,1.16566133499146,1.48313450813293,1.5244824886322,1.5244824886322,-1,-1,1.77614402770996,225.4638671875,317.473173141479,41.3479804992676,358.821153640747,Instruction,Right,Left,Left,Right,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,1,0,0,8,NaN,20260729_t1609_srsSmooth_training_B001,8,NaN,0.746454139550527,1.20630741119385,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0012.mat,12,12,8,1,12,8,100,80,20,8,1,0,1,1,1,18451,1,1,1,2,1,1,1,1,1,1,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,168,113,168,113,55,168,1,0,180,10,180,10,170,170,NaN,NaN,NaN,1785355847.31748,21451.7484878,2.09300827980042,0.0147697925567627,0.215205669403076,0.765153169631958,1.0981457233429,1.3151798248291,1.34885740280151,1.34885740280151,-1,-1,1.6252818107605,200.435876846313,217.034101486206,33.6775779724121,250.711679458618,Instruction,Right,Left,Right,Right,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,0,9,NaN,20260729_t1609_srsSmooth_training_B001,9,NaN,0.803137135505676,1.22332668304443,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0013.mat,13,13,9,1,13,9,100,80,20,8,1,0,3,1,14,6678,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,177,103,177,103,74,103,1,0,10,180,10,180,-170,170,NaN,NaN,NaN,1785355850.62818,21455.059025,2.21654272079468,0.0125288963317871,0.238146543502808,0.963176727294922,1.29591298103333,1.53015613555908,1.56338262557983,1.56338262557983,-1,-1,1.81553149223328,225.617647171021,234.243154525757,33.226490020752,267.469644546509,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,10,NaN,20260729_t1609_srsSmooth_training_B001,10,NaN,0.858315547307332,1.21769642829895,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0014.mat,14,14,10,1,14,10,100,80,20,8,1,0,2,1,10,19624,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,177,98,177,98,79,177,1,180,0,190,180,10,170,170,NaN,NaN,NaN,1785355854.06103,21458.49182276,2.27497363090515,0.0131504535675049,0.213974237442017,0.955395221710205,1.28820037841797,1.51366543769836,1.54725408554077,1.54725408554077,-1,-1,1.79900979995728,200.823783874512,225.465059280396,33.5886478424072,259.053707122803,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,11,NaN,20260729_t1609_srsSmooth_training_B001,11,NaN,0.915529672304789,1.21630477905273,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1609_srsSmooth_training,srs_smooth_training,trial0015.mat,15,15,11,1,15,11,100,80,20,8,1,0,4,1,17,25369,1,2,1,2,1,1,2,2,2,2,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,183,112,183,112,71,112,1,180,190,0,10,180,-170,170,NaN,NaN,NaN,1785355857.54374,21461.97441748,2.03418111801147,0.0139093399047852,0.23972749710083,0.764718770980835,1.0972855091095,1.35593962669373,1.39792418479919,1.39792418479919,-1,-1,1.62446713447571,225.818157196045,258.654117584229,41.9845581054688,300.638675689697,Instruction,Right,Left,Left,Right,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,1,0,0,12,NaN,20260729_t1609_srsSmooth_training_B001,12,NaN,0.973574872811635,1.20773839950562,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
