SessionID,BlockUID,Block,RichTarget,Attempts,GoodTrials,GoodChoices,RealEyeChoices,ExpectedTrials,TrialsMissing,CompletionFraction,Incomplete
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B001,1,1,77,73,33,33,68,0,1.07352941176471,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B002,2,2,60,56,16,16,56,0,1,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B003,3,1,71,68,28,28,68,0,1,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B004,4,2,67,64,24,24,64,0,1,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B005,5,1,71,68,28,28,68,0,1,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B006,6,2,72,68,28,28,68,0,1,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B007,7,1,67,60,20,20,60,0,1,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B008,8,2,62,60,20,20,60,0,1,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B009,9,1,69,64,24,24,60,0,1.06666666666667,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B010,10,2,63,58,18,18,56,0,1.03571428571429,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B011,11,1,88,80,40,40,68,0,1.17647058823529,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B012,12,2,88,82,42,42,68,0,1.20588235294118,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B013,13,1,70,60,20,20,56,0,1.07142857142857,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B014,14,2,71,69,29,29,64,0,1.078125,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B015,15,1,64,56,16,16,56,0,1,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B016,16,2,70,64,24,24,60,0,1.06666666666667,0
20260731_t1356_srsSmooth_Moretraining,20260731_t1356_srsSmooth_Moretraining_B017,17,1,71,65,25,25,64,0,1.015625,0
