Model,Term,Estimate,SE,PValue,OddsRatio,N,Note,QFDR
Choose right,(Intercept),-1.19303531082427,0.314872758238898,0.000151288887886324,0.303299257966336,434,,0.000453866663658972
Choose right,RichOnRight,0.791623551954036,0.289155849844769,0.00618694578906243,2.20697666039093,434,,0.0148486698937498
Choose right,HighSalienceOnRight,-0.319822079307123,0.275935446727932,0.246437134624841,0.726278245507585,434,,0.369655701937262
Choose right,T1OnRight,-0.250124811903946,0.265239838336988,0.345673875099285,0.778703585528706,434,,0.46089850013238
Choose right,PreviousRight,3.22275482379387,0.293715781614905,5.19007021630298e-28,25.0971632994773,434,,6.22808425956358e-27
Choose right,ChoiceProgress,-0.184887241138813,0.127837771705598,0.148103006494548,0.831198003508462,434,,0.294937813049567
Choose T1,(Intercept),-1.09221190046154,0.243422658195454,7.22686784791745e-06,0.335473638153266,434,,2.89074713916698e-05
Choose T1,T1IsRich,0.134349239848994,0.210852989710495,0.524013991742001,1.14379220771738,434,,0.57165162735491
Choose T1,T1IsHighSalience,0.147348648109071,0.210115077625326,0.483130827206778,1.15875789135903,434,,0.57165162735491
Choose T1,T1OnRight,1.50350677020937,0.210083073258555,8.26272497549202e-13,4.49743291294261,434,,4.95763498529521e-12
Choose T1,PreviousT1,0.283195874965607,0.207369893221746,0.172047057612247,1.32736513395527,434,,0.294937813049567
Choose T1,ChoiceProgress,0.020496824111929,0.104326744543422,0.844244197436343,1.02070832658265,434,,0.844244197436343
