Metric,Value,Unit,Notes
Saved attempts,1201,trials,One trialXXXX.mat file per saved attempt.
Successful trials,1115,trials,trialEndState = 455 / GoodTrial = 1.
Completion rate,0.928393005828476,proportion,Successful trials / saved attempts.
Successful instruction trials,680,trials,Single-target trials.
Successful two-target choices,435,trials,All acquisition modes combined.
Real eye-controlled choices,435,trials,passEye=0 and mouseEyeSim=0.
Fraction passEye,0,proportion,passEye forces a programmed choice in this task.
Fraction passJoy,0,proportion,Joystick bypass.
Valid reaction times,1124,trials,saccadeOnset strictly after fixOff.
Valid fixation-acquisition latencies,1201,trials,fixAq strictly after fixOn.
Session duration,98.5308715860049,minutes,Estimated from PTB timestamps.
Missed frames,51,frames,Sum across saved attempts.
Identity-side mapping errors,0,trials,The recorded chosen side does not match the side of the chosen target.
