Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,135,73,0.540740740740741,135,73,0.540740740740741,0.456713979472317,0.622513076289218,0.389502628976133,None,0.779005257952266
Identity,Always T2,135,62,0.459259259259259,135,62,0.459259259259259,0.377486923710782,0.543286020527683,0.389502628976133,None,0.779005257952266
Identity,Choose rich target,135,64,0.474074074074074,135,64,0.474074074074074,0.391731741494243,0.557851041202961,0.605742265190544,None,0.795628714970388
Identity,Choose low-reward target,135,71,0.525925925925926,135,71,0.525925925925926,0.442148958797038,0.608268258505756,0.605742265190544,None,0.795628714970388
Identity,Choose high-salience target,135,60,0.444444444444444,135,60,0.444444444444444,0.36331380952451,0.528649296255215,0.228103478066009,None,0.608275941509356
Identity,Choose low-salience target,135,75,0.555555555555556,135,75,0.555555555555556,0.471350703744785,0.63668619047549,0.228103478066009,None,0.608275941509356
Identity,Repeat previous identity,134,65,0.485074626865672,134,65,0.485074626865672,0.402057169325076,0.568923985153249,0.795628714970388,None,0.795628714970388
Identity,Switch identity,134,69,0.514925373134328,134,69,0.514925373134328,0.431076014846751,0.597942830674923,0.795628714970388,None,0.795628714970388
Spatial,Always right,135,94,0.696296296296296,135,94,0.696296296296296,0.614181563704689,0.767548795873616,5.86855251269755e-06,None,4.69484201015804e-05
Spatial,Always left,135,41,0.303703703703704,135,41,0.303703703703704,0.232451204126384,0.385818436295311,5.86855251269755e-06,None,4.69484201015804e-05
Spatial,Choose rich side,135,64,0.474074074074074,135,64,0.474074074074074,0.391731741494243,0.557851041202961,0.605742265190544,None,0.795628714970388
Spatial,Choose low-reward side,135,71,0.525925925925926,135,71,0.525925925925926,0.442148958797038,0.608268258505756,0.605742265190544,None,0.795628714970388
Spatial,Choose high-salience side,135,60,0.444444444444444,135,60,0.444444444444444,0.36331380952451,0.528649296255215,0.228103478066009,None,0.608275941509356
Spatial,Choose low-salience side,135,75,0.555555555555556,135,75,0.555555555555556,0.471350703744785,0.63668619047549,0.228103478066009,None,0.608275941509356
Spatial,Repeat previous side,134,65,0.485074626865672,134,65,0.485074626865672,0.402057169325076,0.568923985153249,0.795628714970388,None,0.795628714970388
Spatial,Switch side,134,69,0.514925373134328,134,69,0.514925373134328,0.431076014846751,0.597942830674923,0.795628714970388,None,0.795628714970388
