clutIdx,dklLum,measuredCdM2
200,-0.100000000000,48.241
201,-0.092258064516,48.611
202,-0.084516129032,48.969
203,-0.076774193548,49.353
204,-0.069032258065,49.732
205,-0.061290322581,50.134
206,-0.053548387097,50.508
207,-0.045806451613,50.913
208,-0.038064516129,51.268
209,-0.030322580645,51.629
210,-0.022580645161,52.031
211,-0.014838709677,52.421
212,-0.007096774194,52.818
213,0.000645161290,53.219
214,0.008387096774,53.644
215,0.016129032258,54.048
216,0.023870967742,54.478
217,0.031612903226,54.901
218,0.039354838710,55.296
219,0.047096774194,55.759
220,0.054838709677,56.134
221,0.062580645161,56.533
222,0.070322580645,56.960
223,0.078064516129,57.388
224,0.085806451613,57.787
225,0.093548387097,58.258
226,0.101290322581,58.626
227,0.109032258065,59.053
228,0.116774193548,59.494
229,0.124516129032,59.881
230,0.132258064516,60.301
231,0.140000000000,60.742
