Model,Term,Estimate,SE,PValue,OddsRatio,N,Note,QFDR
Choose right,(Intercept),-132.378060230764,9343150.60721677,0.999988695204125,3.22804006774255e-58,251,Extreme coefficient; probable separation.,0.999994182693159
Choose right,RichOnRight,-61.3313100871231,8179568.94047555,0.99999401737356,2.31286594348474e-27,251,Extreme coefficient; probable separation.,0.999994182693159
Choose right,HighSalienceOnRight,198.666013544116,7157365.23201331,0.999977853226739,1.90350237897147e+86,251,Extreme coefficient; probable separation.,0.999994182693159
Choose right,T1OnRight,59.9806075591975,8226762.31866159,0.999994182693159,1.12007443324397e+26,251,Extreme coefficient; probable separation.,0.999994182693159
Choose right,PreviousRight,67.0331037576292,7411556.47638434,0.999992783610471,1.29451493938304e+29,251,Extreme coefficient; probable separation.,0.999994182693159
Choose right,ChoiceProgress,-2.48507749515859,1.95001222264289,0.202524976829018,0.0833190974352212,251,,0.999994182693159
Choose T1,(Intercept),-3.72250383575536,1.30127010388665,0.00422747360690729,0.0241733658708609,251,,0.0507296832828875
Choose T1,T1IsRich,-71.3883815180455,7874212.92165536,0.999992766300835,9.91790250353405e-32,251,Extreme coefficient; probable separation.,0.999994182693159
Choose T1,T1IsHighSalience,150.330174273295,6580565.52059704,0.999981772672168,1.93894348366832e+65,251,Extreme coefficient; probable separation.,0.999994182693159
Choose T1,T1OnRight,-0.14498873402925,1.46858308186016,0.921355067396267,0.865032038481489,251,,0.999994182693159
Choose T1,PreviousT1,0.0644907187103035,1.44238365687206,0.964337498276911,1.0666156786296,251,,0.999994182693159
Choose T1,ChoiceProgress,-0.390359585030684,0.791399946374142,0.62183455874054,0.676813458748126,251,,0.999994182693159
