SessionID,ExperimentType,FileName,FileTrialIndex,Attempt,GoodTrialIndexBefore,Block,BlockAttempt,BlockGoodBefore,ExpectedTrialsInBlock,ExpectedChoiceTrialsInBlock,ExpectedInstructionTrialsInBlock,TotalBlocksTarget,BlockRichTarget,TrialType,ConditionID,SchedulePhase,CurrentScheduleRow,TrialSeed,NStim,SingleTargetID,T1Side,T2Side,RichTarget,RichSide,HighSalienceTarget,HighSalienceSide,ChosenTarget,ChosenSide,Outcome,OutcomeCode,TrialEndState,GoodTrial,TrialRepeatFlag,MissedFrames,PassEye,PassJoy,MouseEyeSim,RewardT1Ms,RewardT2Ms,ActualRichRewardMs,ActualPoorRewardMs,RewardDifferenceT1MinusT2Ms,ChosenRewardMs,SalienceType,BackgroundHueDeg,HueT1Deg,HueT2Deg,HueContrastT1Deg,HueContrastT2Deg,HueContrastDifferenceT1MinusT2Deg,HueContrastMagnitudeDeg,MeasuredLuminanceT1CdM2,MeasuredLuminanceT2CdM2,MeasuredLuminanceDifferenceT1MinusT2CdM2,TrialStartPTB,TrialStartDP,TrialDurationSec,FixOnSec,FixAcquiredSec,FixHoldReqMetSec,FixOffSec,SaccadeOnsetSec,SaccadeOffsetSec,TargetAcquiredSec,JoyPressSec,JoyReleaseSec,RewardTimeSec,FixAcquisitionLatencyMs,ReactionTimeMs,SaccadeDurationMs,TargetAcquisitionLatencyMs,TrialTypeLabel,T1SideLabel,T2SideLabel,ChosenSideLabel,RichSideLabel,HighSalienceSideLabel,IsInstruction,IsChoice,IsCongruent,IsConflict,GoodChoice,ChoseRight,ChoseT1,ChoseRich,ChoseHighSalience,ChoseLeft,ChoseT2,ChosePoor,ChoseLowSalience,T1OnRight,RichOnRight,HighSalienceOnRight,T1IsRich,T1IsHighSalience,ChoiceMappingValid,GoodTrialOrdinal,ChoiceOrdinal,BlockUID,GoodTrialInBlock,ChoiceInBlock,SessionElapsedMin,PreTrialIntervalSec,PreviousChosenTarget,PreviousChosenSide,PreviousRewardMs,PreviousChoiceSameBlock,SwitchedTarget,SwitchedSide,StayedTarget,StayedSide,RealEyeChoice
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0001.mat,1,1,0,1,1,0,96,76,20,8,1,0,2,1,10,17721,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,5,1,1,0,100,80,100,80,20,100,1,0,195,17.5,165,17.5,147.5,147.5,NaN,NaN,NaN,1784581171.74243,23736.58535544,1.23255753517151,0.048828125,0.0532355308532715,0.71870493888855,0.748854875564575,0.726539134979248,0.753522396087646,0.753522396087646,-1,-1,0.780179500579834,4.40740585327148,NaN,26.9832611083984,4.66752052307129,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,1,NaN,20260720_t1659_srsSmooth_training_B001,1,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0002.mat,2,2,1,1,2,1,96,76,20,8,1,0,3,1,13,29036,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,2,1,1,0,147,108,147,108,39,108,1,0,15,197,15,163,-148,148,NaN,NaN,NaN,1784581177.71721,23742.56004516,1.10347414016724,0.0242800712585449,0.0263886451721191,0.617263078689575,0.63263726234436,0.625094652175903,0.635438203811646,0.635438203811646,-1,-1,0.653901100158691,2.10857391357422,NaN,10.3435516357422,2.80094146728516,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,2,NaN,20260720_t1659_srsSmooth_training_B001,2,NaN,0.099579664071401,4.74222230911255,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0003.mat,3,3,2,1,3,2,96,76,20,8,1,0,2,1,7,20776,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,7,1,1,0,108,94,108,94,14,108,1,180,17,192,163,12,151,151,NaN,NaN,NaN,1784581180.82433,23745.66687488,1.04583096504211,0.025615930557251,0.0339720249176025,0.545814275741577,0.575636625289917,0.554267883300781,0.580705881118774,0.580705881118774,-1,-1,0.612834453582764,8.35609436035156,NaN,26.4379978179932,5.06925582885742,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,3,NaN,20260720_t1659_srsSmooth_training_B001,3,NaN,0.151364986101786,2.00364518165588,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0004.mat,4,4,3,1,4,3,96,76,20,8,1,0,3,1,14,4896,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,1,1,1,0,114,98,114,98,16,98,1,180,197,14.5,17,165.5,-148.5,148.5,NaN,NaN,NaN,1784581183.47627,23748.31888688,1.11943387985229,0.0154364109039307,0.0168359279632568,0.651737928390503,0.665461540222168,0.659960508346558,0.666377544403076,0.666377544403076,-1,-1,0.685012817382812,1.39951705932617,NaN,6.41703605651855,0.916004180908203,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,4,NaN,20260720_t1659_srsSmooth_training_B001,4,NaN,0.195564142862956,1.60611844062805,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0005.mat,5,5,4,1,5,4,96,76,20,8,1,0,2,1,6,261,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,5,1,1,0,120,68,120,68,52,120,1,0,192,20,168,20,148,148,NaN,NaN,NaN,1784581186.25831,23751.1008752,1.35977482795715,0.0168397426605225,0.0188534259796143,0.820172786712646,0.866872787475586,0.83693528175354,0.871722221374512,0.871722221374512,-1,-1,0.911563634872437,2.0136833190918,NaN,34.7869396209717,4.84943389892578,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,5,NaN,20260720_t1659_srsSmooth_training_B001,5,NaN,0.241931454340617,1.66260480880737,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0006.mat,6,6,5,1,6,5,96,76,20,8,1,0,3,1,11,13645,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,2,1,1,0,126,92,126,92,34,92,1,180,193.5,18.5,13.5,161.5,-148,148,NaN,NaN,NaN,1784581189.28668,23754.1291716,1.06734466552734,0.0135903358459473,0.0151534080505371,0.600244760513306,0.621947288513184,0.608628749847412,0.626309394836426,0.626309394836426,-1,-1,0.641333103179932,1.56307220458984,NaN,17.6806449890137,4.36210632324219,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,6,NaN,20260720_t1659_srsSmooth_training_B001,6,NaN,0.292404246330261,1.66859269142151,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0007.mat,7,7,6,1,7,6,96,76,20,8,1,0,3,1,12,16944,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,2,1,1,0,114,67,114,67,47,67,1,0,12,193.5,12,166.5,-154.5,154.5,NaN,NaN,NaN,1784581191.92467,23756.76729748,1.12146806716919,0.0173697471618652,0.0229063034057617,0.678935766220093,0.692395925521851,0.687414646148682,0.693782329559326,0.693782329559326,-1,-1,0.711570739746094,5.53655624389648,NaN,6.36768341064453,1.38640403747559,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,7,NaN,20260720_t1659_srsSmooth_training_B001,7,NaN,0.336370754241943,1.57064580917358,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0008.mat,8,8,7,1,8,7,96,76,20,8,1,0,1,1,1,10021,1,1,1,2,1,1,1,1,1,1,SINGLE_T1_CORRECT,10,455,1,0,4,1,1,0,125,52,125,52,73,125,1,0,196,17.5,164,17.5,146.5,146.5,NaN,NaN,NaN,1784581194.59648,23759.43899732,1.15738725662231,0.0123283863067627,0.013507604598999,0.682297706604004,0.704022169113159,0.690819501876831,0.70894455909729,0.70894455909729,-1,-1,0.732671022415161,1.17921829223633,NaN,18.125057220459,4.92238998413086,Instruction,Right,Left,Right,Right,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,0,8,NaN,20260720_t1659_srsSmooth_training_B001,8,NaN,0.380900963147481,1.55034446716309,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0009.mat,9,9,8,1,9,8,96,76,20,8,1,0,1,1,5,27847,1,1,1,2,1,1,1,1,1,1,SINGLE_T1_CORRECT,10,455,1,0,2,1,1,0,143,48,143,48,95,143,1,180,14,194,166,14,152,152,NaN,NaN,NaN,1784581197.27598,23762.11843616,1.11092472076416,0.0162756443023682,0.0175719261169434,0.634658575057983,0.649633646011353,0.642881631851196,0.651325941085815,0.651325941085815,-1,-1,0.669270277023315,1.2962818145752,NaN,8.44430923461914,1.69229507446289,Instruction,Right,Left,Right,Right,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,0,9,NaN,20260720_t1659_srsSmooth_training_B001,9,NaN,0.425559155146281,1.52210426330566,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260720_t1659_srsSmooth_training,srs_smooth_training,trial0010.mat,10,10,9,1,10,9,96,76,20,8,1,0,4,1,20,21862,1,2,1,2,1,1,2,2,2,2,SINGLE_T2_CORRECT,11,455,1,0,2,1,1,0,114,73,114,73,41,73,1,180,199,12,19,168,-149,149,NaN,NaN,NaN,1784581199.92919,23764.7715742,1.09150505065918,0.0131649971008301,0.0145022869110107,0.674424171447754,0.696526050567627,0.683269500732422,0.700476408004761,0.700476408004761,-1,-1,0.724360466003418,1.33728981018066,NaN,17.2069072723389,3.95035743713379,Instruction,Right,Left,Left,Right,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,1,0,0,10,NaN,20260720_t1659_srsSmooth_training_B001,10,NaN,0.4697793841362,1.54228901863098,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
