Model,Term,Estimate,SE,PValue,OddsRatio,N,Note,QFDR
Choose right,(Intercept),1.943159675751,2.02294591704441,0.3367737609277,6.98077314047283,85,,0.999992371721124
Choose right,RichOnRight,-0.64314605333158,1.41069791199751,0.648457365212462,0.525636140699646,85,,0.999992371721124
Choose right,HighSalienceOnRight,100.543267734403,10480643.7469509,0.999992345706719,4.62792561164169e+43,85,Extreme coefficient; probable separation.,0.999992371721124
Choose right,T1OnRight,1.14621188991069,1.44637520037303,0.428085494872205,3.14625195836284,85,,0.999992371721124
Choose right,PreviousRight,1.59415746391239,1.59260188662595,0.316838047872189,4.92417852576233,85,,0.999992371721124
Choose right,ChoiceProgress,2.14291062180285,1.29687673319162,0.0984606532029049,8.52421231474075,85,,0.999992371721124
Choose T1,(Intercept),-102.38382474871,10480643.7443467,0.999992205586314,3.42980852506186e-45,85,Extreme coefficient; probable separation.,0.999992371721124
Choose T1,T1IsRich,-0.199551985550193,2.12860473603817,0.925309508063623,0.819097638464703,85,,0.999992371721124
Choose T1,T1IsHighSalience,100.201554479637,10480643.7443465,0.999992371721124,3.28838144228596e+43,85,Extreme coefficient; probable separation.,0.999992371721124
Choose T1,T1OnRight,104.724831793989,10480643.7443465,0.999992027366977,3.02981817435378e+45,85,Extreme coefficient; probable separation.,0.999992371721124
Choose T1,PreviousT1,0.324248827880216,1.07470020810674,0.762872415116308,1.38299139112507,85,,0.999992371721124
Choose T1,ChoiceProgress,-0.192186975587767,0.564954732682992,0.733720079492489,0.82515257068027,85,,0.999992371721124
