Domain,Strategy,NAll,CorrectAll,AccuracyAll,NReal,CorrectReal,AccuracyReal,CI95LowReal,CI95HighReal,PExactVsChanceReal,IndistinguishableFrom,QFDR
Identity,Always T1,86,43,0.5,86,43,0.5,0.39660972327421,0.60339027672579,1,None,1
Identity,Always T2,86,43,0.5,86,43,0.5,0.39660972327421,0.60339027672579,1,None,1
Identity,Choose rich target,86,43,0.5,86,43,0.5,0.39660972327421,0.60339027672579,1,None,1
Identity,Choose low-reward target,86,43,0.5,86,43,0.5,0.39660972327421,0.60339027672579,1,None,1
Identity,Choose high-salience target,86,46,0.534883720930233,86,46,0.534883720930233,0.430243027217763,0.636541284599511,0.590035611148573,None,1
Identity,Choose low-salience target,86,40,0.465116279069767,86,40,0.465116279069767,0.363458715400489,0.569756972782237,0.590035611148573,None,1
Identity,Repeat previous identity,85,42,0.494117647058824,85,42,0.494117647058824,0.390408352012714,0.59833564191451,1,None,1
Identity,Switch identity,85,43,0.505882352941176,85,43,0.505882352941176,0.40166435808549,0.609591647987286,1,None,1
Spatial,Always right,86,82,0.953488372093023,86,82,0.953488372093023,0.88643002186288,0.981766031761679,5.76347656072168e-20,None,4.61078124857734e-19
Spatial,Always left,86,4,0.0465116279069767,86,4,0.0465116279069767,0.0182339682383209,0.11356997813712,5.76347656072168e-20,None,4.61078124857734e-19
Spatial,Choose rich side,86,43,0.5,86,43,0.5,0.39660972327421,0.60339027672579,1,None,1
Spatial,Choose low-reward side,86,43,0.5,86,43,0.5,0.39660972327421,0.60339027672579,1,None,1
Spatial,Choose high-salience side,86,46,0.534883720930233,86,46,0.534883720930233,0.430243027217763,0.636541284599511,0.590035611148573,None,1
Spatial,Choose low-salience side,86,40,0.465116279069767,86,40,0.465116279069767,0.363458715400489,0.569756972782237,0.590035611148573,None,1
Spatial,Repeat previous side,85,79,0.929411764705882,85,79,0.929411764705882,0.854439406425305,0.967249036887333,2.44164220178627e-17,None,9.76656880714509e-17
Spatial,Switch side,85,6,0.0705882352941176,85,6,0.0705882352941176,0.0327509631126668,0.145560593574695,2.44164220178627e-17,None,9.76656880714509e-17
