Metric,Value,Unit,Notes
Saved attempts,146,trials,One trialXXXX.mat file per saved attempt.
Successful trials,126,trials,trialEndState = 455 / GoodTrial = 1.
Completion rate,0.863013698630137,proportion,Successful trials / saved attempts.
Successful instruction trials,40,trials,Single-target trials.
Successful two-target choices,86,trials,All acquisition modes combined.
Real eye-controlled choices,86,trials,passEye=0 and mouseEyeSim=0.
Fraction passEye,0,proportion,passEye forces a programmed choice in this task.
Fraction passJoy,0,proportion,Joystick bypass.
Valid reaction times,126,trials,saccadeOnset strictly after fixOff.
Valid fixation-acquisition latencies,146,trials,fixAq strictly after fixOn.
Session duration,9.21893843015035,minutes,Estimated from PTB timestamps.
Missed frames,8,frames,Sum across saved attempts.
Identity-side mapping errors,0,trials,The recorded chosen side does not match the side of the chosen target.
