SessionID,ExperimentType,FileName,FileTrialIndex,Attempt,GoodTrialIndexBefore,Block,BlockAttempt,BlockGoodBefore,ExpectedTrialsInBlock,ExpectedChoiceTrialsInBlock,ExpectedInstructionTrialsInBlock,TotalBlocksTarget,BlockRichTarget,TrialType,ConditionID,SchedulePhase,CurrentScheduleRow,TrialSeed,NStim,SingleTargetID,T1Side,T2Side,RichTarget,RichSide,HighSalienceTarget,HighSalienceSide,ChosenTarget,ChosenSide,Outcome,OutcomeCode,TrialEndState,GoodTrial,TrialRepeatFlag,MissedFrames,PassEye,PassJoy,MouseEyeSim,RewardT1Ms,RewardT2Ms,ActualRichRewardMs,ActualPoorRewardMs,RewardDifferenceT1MinusT2Ms,ChosenRewardMs,SalienceType,BackgroundHueDeg,HueT1Deg,HueT2Deg,HueContrastT1Deg,HueContrastT2Deg,HueContrastDifferenceT1MinusT2Deg,HueContrastMagnitudeDeg,MeasuredLuminanceT1CdM2,MeasuredLuminanceT2CdM2,MeasuredLuminanceDifferenceT1MinusT2CdM2,TrialStartPTB,TrialStartDP,TrialDurationSec,FixOnSec,FixAcquiredSec,FixHoldReqMetSec,FixOffSec,SaccadeOnsetSec,SaccadeOffsetSec,TargetAcquiredSec,JoyPressSec,JoyReleaseSec,RewardTimeSec,FixAcquisitionLatencyMs,ReactionTimeMs,SaccadeDurationMs,TargetAcquisitionLatencyMs,TrialTypeLabel,T1SideLabel,T2SideLabel,ChosenSideLabel,RichSideLabel,HighSalienceSideLabel,IsInstruction,IsChoice,IsCongruent,IsConflict,GoodChoice,ChoseRight,ChoseT1,ChoseRich,ChoseHighSalience,ChoseLeft,ChoseT2,ChosePoor,ChoseLowSalience,T1OnRight,RichOnRight,HighSalienceOnRight,T1IsRich,T1IsHighSalience,ChoiceMappingValid,GoodTrialOrdinal,ChoiceOrdinal,BlockUID,GoodTrialInBlock,ChoiceInBlock,SessionElapsedMin,PreTrialIntervalSec,PreviousChosenTarget,PreviousChosenSide,PreviousRewardMs,PreviousChoiceSameBlock,SwitchedTarget,SwitchedSide,StayedTarget,StayedSide,RealEyeChoice
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0001.mat,1,1,0,1,1,0,100,80,20,8,1,0,2,1,10,24117,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,1,0,0,0,98,46,98,46,52,98,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0521650314331,0.229538261890411,11.8226267695427,1785354587.37123,20191.82737596,2.04890894889832,0.0200996398925781,0.245527029037476,0.770557880401611,1.10347557067871,1.32098293304443,1.37086749076843,1.37086749076843,-1,-1,1.64853262901306,225.427389144897,217.507362365723,49.884557723999,267.391920089722,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,1,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,1,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0002.mat,2,2,1,1,2,1,100,80,20,8,1,0,3,1,11,28541,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,100,61,100,61,39,61,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.229538261890411,12.0521650314331,-11.8226267695427,1785354606.99655,20211.452284,2.08224964141846,0.0122253894805908,0.1959388256073,0.829419612884521,1.16227149963379,1.41278982162476,1.45425939559937,1.45425939559937,-1,-1,1.71530222892761,183.713436126709,250.518321990967,41.4695739746094,291.987895965576,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,2,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,2,NaN,0.327088602383932,17.5764071941376,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0003.mat,3,3,2,1,3,2,100,80,20,8,1,0,1,1,4,23642,1,1,1,2,1,1,1,1,1,1,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,117,51,117,51,66,117,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0521650314331,0.229538261890411,11.8226267695427,1785354610.42534,20214.88091884,2.29562664031982,0.0169038772583008,0.192360639572144,0.925871849060059,1.25861883163452,1.53412342071533,1.57581472396851,1.57581472396851,-1,-1,1.87812781333923,175.456762313843,275.504589080811,41.6913032531738,317.195892333984,Instruction,Right,Left,Right,Right,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,0,3,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,3,NaN,0.384235111872355,1.34654092788696,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0004.mat,4,4,3,1,4,3,100,80,20,8,1,0,3,1,12,28413,1,2,2,1,1,2,2,1,0,0,,0,11,0,1,0,0,0,0,75,46,75,46,29,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.229538261890411,12.0521650314331,-11.8226267695427,1785354614.00914,20218.46465932,0.269039154052734,0.0165801048278809,0.209002256393433,-1,-1,-1,-1,-1,-1,-1,-1,192.422151565552,NaN,NaN,NaN,Instruction,Left,Right,None,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,3,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,NaN,NaN,0.443965073426565,1.28817105293274,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0005.mat,5,5,3,1,5,3,100,80,20,8,1,0,3,1,15,13432,1,2,2,1,1,2,2,1,2,1,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,109,63,109,63,46,63,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.229538261890411,12.0521650314331,-11.8226267695427,1785354615.5364,20219.99196484,2.36085724830627,0.0143804550170898,0.206456899642944,0.973089218139648,1.30609846115112,1.64048767089844,1.68207454681396,1.68207454681396,-1,-1,1.9848518371582,192.076444625854,334.389209747314,41.5868759155273,375.976085662842,Instruction,Left,Right,Right,Left,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,0,0,4,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,4,NaN,0.469419399897258,1.25822043418884,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0006.mat,6,6,4,1,6,4,100,80,20,8,1,0,2,1,7,23931,1,1,2,1,1,2,1,2,1,2,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,82,58,82,58,24,82,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0521650314331,0.229538261890411,11.8226267695427,1785354619.20798,20223.66347124,2.12933850288391,0.0179429054260254,0.243516683578491,0.826705932617188,1.15965390205383,1.49374103546143,1.52679491043091,1.52679491043091,-1,-1,1.74690008163452,225.573778152466,334.087133407593,33.0538749694824,367.141008377075,Instruction,Left,Right,Left,Left,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,1,0,5,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,5,NaN,0.530612444877624,1.31072545051575,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0017.mat,17,17,5,1,17,5,100,80,20,8,1,0,1,1,2,10425,1,1,1,2,1,1,1,1,1,1,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,96,65,96,65,31,96,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0521650314331,0.229538261890411,11.8226267695427,1785354637.1634,20241.61841372,2.27448439598083,0.0132203102111816,0.23072338104248,0.93047571182251,1.26326823234558,1.55533766746521,1.5970356464386,1.5970356464386,-1,-1,1.88214445114136,217.503070831299,292.069435119629,41.6979789733887,333.767414093018,Instruction,Right,Left,Right,Right,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,0,6,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,6,NaN,0.829869488875071,15.8260841369629,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0018.mat,18,18,6,1,18,6,100,80,20,8,1,0,4,1,16,6303,1,2,1,2,1,1,2,2,2,2,SINGLE_T2_CORRECT,11,455,1,0,1,0,0,0,117,58,117,58,59,58,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.229538261890411,12.0521650314331,-11.8226267695427,1785354640.66205,20245.11710044,1.99252605438232,0.01470947265625,0.231779336929321,0.74003529548645,1.06474947929382,1.34011077880859,1.3653929233551,1.3653929233551,-1,-1,1.63374543190002,217.069864273071,275.361299514771,25.2821445465088,300.643444061279,Instruction,Right,Left,Left,Right,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,1,0,0,7,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,7,NaN,0.888180267810821,1.22416234016418,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0019.mat,19,19,7,1,19,7,100,80,20,8,1,0,4,1,20,30496,1,2,1,2,1,1,2,2,2,2,SINGLE_T2_CORRECT,11,455,1,0,0,0,0,0,91,61,91,61,30,61,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.229538261890411,12.0521650314331,-11.8226267695427,1785354643.88806,20248.34299864,2.20848059654236,0.0138235092163086,0.247952461242676,0.914187431335449,1.24720454216003,1.55588126182556,1.58087658882141,1.58087658882141,-1,-1,1.84942269325256,234.128952026367,308.676719665527,24.9953269958496,333.672046661377,Instruction,Right,Left,Left,Right,Left,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,1,0,0,8,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,8,NaN,0.941947118441264,1.23348498344421,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
20260729_t1546_srsSmooth_direct_rgb_training,srs_direct_rgb_training,trial0020.mat,20,20,8,1,20,8,100,80,20,8,1,0,1,1,3,30327,1,1,1,2,1,1,1,1,1,1,SINGLE_T1_CORRECT,10,455,1,0,0,0,0,0,120,61,120,61,59,120,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0521650314331,0.229538261890411,11.8226267695427,1785354647.33344,20251.78823188,2.26351118087769,0.010239839553833,0.235993385314941,0.910928010940552,1.24362087249756,1.54425811767578,1.59445571899414,1.59445571899414,-1,-1,1.84635782241821,225.753545761108,300.637245178223,50.1976013183594,350.834846496582,Instruction,Right,Left,Right,Right,Right,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,0,9,NaN,20260729_t1546_srsSmooth_direct_rgb_training_B001,9,NaN,0.999370177586873,1.23690295219421,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0
