SessionID,BlockUID,Block,RichTarget,Attempts,GoodTrials,GoodChoices,RealEyeChoices,ExpectedTrials,TrialsMissing,CompletionFraction,Incomplete
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B001,1,1,113,95,45,45,82,0,1.15853658536585,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B002,2,2,89,81,31,31,78,0,1.03846153846154,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B003,3,1,127,108,58,58,98,0,1.10204081632653,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B004,4,2,73,64,14,14,62,0,1.03225806451613,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B005,5,1,108,90,40,40,82,0,1.09756097560976,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B006,6,2,117,105,55,55,94,0,1.11702127659574,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B007,7,1,95,76,26,26,74,0,1.02702702702703,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B008,8,2,85,77,27,27,74,0,1.04054054054054,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B009,9,1,107,84,34,34,78,0,1.07692307692308,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B010,10,2,100,83,33,33,82,0,1.01219512195122,0
20260803_t1352_srsSmooth_Moretraining,20260803_t1352_srsSmooth_Moretraining_B011,11,1,48,39,0,0,78,39,0.5,1
