Model,Term,Estimate,SE,PValue,OddsRatio,N,Note,QFDR
Choose right,(Intercept),1.99584798537302,0.553682814471953,0.000312540780933603,7.35844023267337,134,,0.00187524468560162
Choose right,RichOnRight,-0.393533099972105,0.413682122297322,0.341455422897135,0.674668985682676,134,,0.450555049943086
Choose right,HighSalienceOnRight,-0.65572197535717,0.400100777051571,0.101235747539444,0.519067173564985,134,,0.242965794094666
Choose right,T1OnRight,0.683791181407503,0.414940823474711,0.0993681491609463,1.981375264061,134,,0.242965794094666
Choose right,PreviousRight,-1.26210308379184,0.500155228978682,0.0116218591752625,0.283058105170038,134,,0.04648743670105
Choose right,ChoiceProgress,0.152519350555932,0.202848265378825,0.452117899288008,1.16476500072684,134,,0.493219526496009
Choose T1,(Intercept),0.160313609878181,0.454984601017153,0.724576147906828,1.17387895330721,134,,0.724576147906828
Choose T1,T1IsRich,-0.600654342789498,0.423176371323391,0.155783946320844,0.548452642622359,134,,0.267058193692876
Choose T1,T1IsHighSalience,-0.560363545908924,0.389531137394705,0.150275493499309,0.571001440873041,134,,0.267058193692876
Choose T1,T1OnRight,1.84821671359791,0.40713868377865,5.63807803035757e-06,6.34848824938305,134,,6.76569363642909e-05
Choose T1,PreviousT1,-0.345918150962676,0.390300091018334,0.375462541619238,0.707570398692437,134,,0.450555049943086
Choose T1,ChoiceProgress,0.262025530006683,0.209258621061768,0.210511124101395,1.2995597197742,134,,0.315766686152092
