Strategy,Class,Accuracy,N,WilsonLow,WilsonHigh
Choose right hemifield,spatial/absolute,0.802721088435374,147,0.731040135023351,0.858983328657113
Choose rightmost target,spatial/relative,0.720588235294118,204,0.655372549695955,0.777649815094332
Choose uppermost target,spatial/relative,0.593137254901961,204,0.524607938600583,0.658223726533093
Choose upper hemifield,spatial/absolute,0.587837837837838,148,0.507292382279107,0.663938849308985
Choose high salience identity,identity/salience,0.573529411764706,204,0.504920270607919,0.63942051765551
Choose high reward identity,identity/value,0.549019607843137,204,0.480459560964071,0.615767631211549
Always T1,identity,0.5,204,0.432024563611767,0.567975436388233
Always T2,identity,0.5,204,0.432024563611767,0.567975436388233
Repeat previous identity,identity/history,0.472906403940887,203,0.405368280503839,0.541450891712812
Choose lower hemifield,spatial/absolute,0.412162162162162,148,0.336061150691015,0.492707617720893
Choose lowermost target,spatial/relative,0.406862745098039,204,0.341776273466907,0.475392061399417
Choose leftmost target,spatial/relative,0.279411764705882,204,0.222350184905668,0.344627450304045
Choose left hemifield,spatial/absolute,0.197278911564626,147,0.141016671342887,0.268959864976649
