FileName,FileTrialIndex,Attempt,Block,TrialType,NStim,ChosenTarget,RichTarget,HighSalienceTarget,PassEye,MouseEyeSim,CorrectionRepeat,GoodTrial,RealEyeChoice,PrimaryChoice,T1X,T1Y,T2X,T2Y,FixX,FixY,T1Angle,T2Angle,T1HorizontalSide,T2HorizontalSide,T1VerticalSide,T2VerticalSide,StraddlesLR,StraddlesUD,RightmostTarget,LeftmostTarget,UppermostTarget,LowermostTarget,ChosenX,ChosenY,ChosenAngle,ChosenHorizontalSide,ChosenVerticalSide,ChoseRich,ChoseHighSalience,ChoseRightmost,ChoseUppermost,PreviousChosenTargetPrimary,RepeatIdentityPrimary
trial0001.mat,1,1,1,2,2,2,1,2,0,0,0,1,1,1,3.77926293944764,9.25835685391947,8.74902065926668,-4.8429988131038,0,0,67.7947084507619,331.033387282521,1,1,1,2,0,1,2,1,1,2,8.74902065926668,-4.8429988131038,331.033387282521,1,2,0,1,1,0,NaN,NaN
trial0002.mat,2,2,1,1,2,1,1,1,0,0,0,1,1,1,-6.11536412203684,7.91216289360278,-3.33626530369846,-9.42705329481794,0,0,127.700678669812,250.510960405463,2,2,1,2,0,1,2,1,1,2,-6.11536412203684,7.91216289360278,127.700678669812,2,1,1,1,0,1,2,0
trial0003.mat,3,3,1,1,2,1,1,1,0,0,0,1,1,1,-8.88360151061012,-4.59147298812545,2.273656881372,9.73809449460159,0,0,207.332097930789,76.8579717592007,2,1,2,1,1,1,2,1,2,1,-8.88360151061012,-4.59147298812545,207.332097930789,2,2,1,1,0,0,1,1
trial0004.mat,4,4,1,1,2,2,1,1,0,0,0,1,1,1,-2.5381980719847,9.67251521308564,4.37016845964379,-8.99453320825125,0,0,104.703664441827,295.913698517574,2,1,1,2,1,1,2,1,1,2,4.37016845964379,-8.99453320825125,295.913698517574,1,2,0,0,1,0,1,0
trial0005.mat,5,5,1,2,2,1,1,2,0,0,0,1,1,1,9.90780283727904,-1.35478519980309,-9.99898192570313,-0.142690046822438,0,0,352.21370871794,180.817581491623,1,2,2,2,1,0,1,2,2,1,9.90780283727904,-1.35478519980309,352.21370871794,1,2,1,0,1,0,2,0
trial0006.mat,6,6,1,1,2,1,1,1,0,0,0,1,1,1,0.828262916083067,9.9656399966004,-8.28739893099455,-5.59633978226398,0,0,85.2489602859405,214.030488677613,1,2,1,2,1,1,1,2,1,2,0.828262916083067,9.9656399966004,85.2489602859405,1,1,1,1,1,1,1,1
trial0007.mat,7,7,1,2,2,2,1,2,0,0,0,1,1,1,-4.53046069733075,-8.91487105178428,-6.62911367226343,7.48697882461344,0,0,243.06071477335,131.522290000242,2,2,2,1,0,1,1,2,2,1,-6.62911367226343,7.48697882461344,131.522290000242,2,1,0,1,0,1,1,0
trial0008.mat,8,8,1,2,2,2,1,2,0,0,0,1,1,1,-9.67663335235552,-2.52245256924302,9.92894744808246,1.18995906367272,0,0,194.610414793014,6.8341570375469,2,1,2,1,1,1,2,1,2,1,9.92894744808246,1.18995906367272,6.8341570375469,1,1,0,1,1,1,2,1
trial0009.mat,9,9,1,1,2,2,1,1,0,0,0,1,1,1,1.12044908025759,9.93703144095609,2.03268255940847,-9.79123085279254,0,0,83.5667909805165,281.728143149888,1,1,1,2,0,1,2,1,1,2,2.03268255940847,-9.79123085279254,281.728143149888,1,2,0,0,1,0,2,1
trial0010.mat,10,10,1,2,2,1,1,2,0,0,0,1,1,1,-9.83731680294569,-1.79644040215156,7.24864189407777,-6.88891796230878,0,0,190.349026847414,316.457551165888,2,1,2,2,1,0,2,1,1,2,-9.83731680294569,-1.79644040215156,190.349026847414,2,2,1,0,0,1,2,0
